"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"135";2;5;6;9;11;13;15;17;18;21;22;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;69;71;73;75;75;79
"136";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
"137";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;55;55;55;55;55;55;55;55;55;55;55;55;55
"138";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;66;66;66;66;66;66;66
"139";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;77;77
"140";2;5;6;9;11;13;15;17;18;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;54;54;54;61;62;64;67;67;67;67;67;67;67
"141";2;5;6;9;11;13;15;17;18;21;22;25;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"142";2;5;6;9;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"143";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;41;43;45;47;49;50;53;53;56;59;59;59;59;59;59;59;59;59;76;76
"144";2;5;6;9;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"145";2;5;6;9;11;13;15;17;18;21;22;25;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"146";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"147";2;5;6;9;11;13;15;17;18;21;22;25;26;29;31;33;34;37;39;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
