"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"surprise";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,0759814472818859;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131067;0,164932279376002;0,000211283674931876;6,62552741368594e-05;0,0277455917424857;0,0196077644461999;0,0147034766128212;3,1218880219978e-05;0,00540757059883837;2,35273039554814;0,0299327435372873
"realistic";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,0759814472818859;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131067;0,164932279376002;0,000211283674931876;6,62552741368594e-05;0,0277455917424857;0,0196077644461999;0,0147034766128212;3,1218880219978e-05;0,00540757059883837;2,35273039554814;0,0299327435372873
"quality";-3,21179192323316;-0,645507565919701;0,152887887837529;-0,00777776256137158;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,00236443192016256;-0,0774969897991975;0,967599914264433;0,0295409278910327;0,00126022161807982;2,46310302223384e-06;0,00159647312343207;0,0557823750590696;0,00225322661261939;0,000126400374260037;3,2712336119547e-07;0,000351420910535983;0,00540757059883837;2,87163651883317;0,0445924294011616
"high";-3,21179192323316;-0,645507565919701;0,152887887837529;-0,00777776256137158;-0,254925160136458;-0,976381483015289;-0,196233644512006;0,0464777626414891;-0,00236443192016256;-0,0774969897991975;0,967599914264433;0,0295409278910327;0,00126022161807982;2,46310302223384e-06;0,00159647312343207;0,0557823750590696;0,00225322661261939;0,000126400374260037;3,2712336119547e-07;0,000351420910535983;0,00540757059883837;2,87163651883317;0,0445924294011616
"guard";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,0759814472818859;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131067;0,164932279376002;0,000211283674931876;6,62552741368594e-05;0,0277455917424857;0,0196077644461999;0,0147034766128212;3,1218880219978e-05;0,00540757059883837;2,35273039554814;0,0299327435372873
"discover";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,0759814472818859;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131067;0,164932279376002;0,000211283674931876;6,62552741368594e-05;0,0277455917424857;0,0196077644461999;0,0147034766128212;3,1218880219978e-05;0,00540757059883837;2,35273039554814;0,0299327435372873
"budapest";-0,0571720388274865;2,23363185351312;-5,03047053161136;-0,574409006972058;-0,800370251733337;-0,010224210809589;0,399445662769539;-0,899610932921506;-0,102722920131117;-0,143132103511958;0,000175448011147709;0,2024066229813;0,780724941217664;0,00768768835062352;0,00900529943926517;1,76754125054424e-05;0,0269789713478407;0,136842001156434;0,00178420470595772;0,00346404938438044;0,00540757059883837;3,79611562352367;0,0779257627344949
"border";0,110690188893302;2,26514441997456;1,9042016688237;-1,64895543510313;0,0759814472818859;0,0326493555593861;0,66813062928637;0,561666376792709;-0,486378538518533;0,022411609493361;0,00171211875162099;0,541910868066377;0,291233450131067;0,164932279376002;0,000211283674931876;6,62552741368594e-05;0,0277455917424857;0,0196077644461999;0,0147034766128212;3,1218880219978e-05;0,00540757059883837;2,35273039554814;0,0299327435372873
"army";-0,0571720388274865;2,23363185351312;-5,03047053161136;-0,574409006972058;-0,800370251733337;-0,010224210809589;0,399445662769539;-0,899610932921506;-0,102722920131117;-0,143132103511958;0,000175448011147709;0,2024066229813;0,780724941217664;0,00768768835062352;0,00900529943926517;1,76754125054424e-05;0,0269789713478407;0,136842001156434;0,00178420470595772;0,00346404938438044;0,00540757059883837;3,79611562352367;0,0779257627344949
"portrait";-2,60770426648289;-0,116298113938927;0,471308575289561;-0,30617370302351;-0,194760322424032;-0,974038058258744;-0,0434400443854815;0,176044690119293;-0,114362983186409;-0,0727475000589739;0,973024073683496;0,0014627587146632;0,0182691078313115;0,00582257218221286;0,00142148758831564;0,014981241128733;2,97972690493225e-05;0,000489375025947573;0,000206522271310718;8,35664760860885e-05;0,00220308431804526;2,32501908151158;0,0119092431450675
