"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"mouse";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"computer";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"lead";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"oil";0,400109871558432;-0,324245296849883;0,451615584882562;0,584130287727609;-0,473373720587111;0,659324751254476;0,489519106429097;0,259608109731703;0,250872783839201;0,00300699728527751;0,00197479434024057;0,00383100169717475;0,0187834128016183;0,502517973542963;0,00474326842730594
"ussr";0,522719289913881;-0,990297057939495;-0,936262148073582;0,35811844063055;-0,678459060136735;-0,641439386223455;0,192719728156533;0,558572907681939;0,248707364161529;0,00292145986816317;0,010485613561524;0,00937255077788418;0,0106920965178442;1,04631535066778;0,0117054486584575
"trend";-0,145005718993131;-0,618296614211611;0,344414041533986;-0,200713002987087;-0,855829487532416;0,476728621651676;0,0557064124714724;0,81787782758345;0,12641575994508;0,00039495240720892;0,00718072408740362;0,00222810781111843;0,0187834128016183;0,539870618978919;0,00547461885287799
"sit";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"influencer";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"gloom";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"extremely";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"dark";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"chair";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"play";0,449727055030526;-0,58903175452226;0,349593409064358;0,548844310832135;-0,718850964719189;0,426641785329906;0,380465962126208;0,527053819833264;0,0924802180405291;0,00321456243937397;0,00551443792254197;0,00194245205645663;0,0158936569859847;0,640690474797058;0,00652409641591168
"highly";0,0532987487583273;1,51620401371082;0,164164669897591;0,0349271756153435;0,993582871817279;0,107578665333156;0,00151904275066899;0,992684001865033;0,00579695538430037;4,59709205823969e-05;0,0372018431517979;0,000436122576270701;0,016182632567548;1,20168093886444;0,0233683214606231
"cinematic";0,361869576391063;-0,137473403914511;-1,14409170561442;0,299609123820266;-0,113820803910039;-0,947248223815133;0,194649695407622;0,0226854148919644;0,782664889700414;0,00187314108386466;0,000270335896777976;0,0187235424439698;0,0143042912873862;0,720746205755378;0,00743072304839858
"hybrid";0,447047776567546;-0,574302770170636;0,396792472173588;0,539309107241815;-0,692826875564226;0,478682156907848;0,377414746160957;0,502982156118039;0,119603097721006;0,003234126864298;0,0053374152932343;0,00254786270611852;0,016182632567548;0,639442744362553;0,00661686845999225
"sharp";-0,27501031907418;1,10518661923613;0,559735855338151;-0,216713434596602;0,870908367842969;0,441082647682314;0,0636616660020132;0,830254094231614;0,106084239766375;0,00104906008630821;0,016942348862954;0,00434578902819082;0,0138708279150412;0,957783050131502;0,0127243813939378
"focus";-0,27501031907418;1,10518661923613;0,559735855338151;-0,216713434596602;0,870908367842969;0,441082647682314;0,0636616660020132;0,830254094231614;0,106084239766375;0,00104906008630821;0,016942348862954;0,00434578902819082;0,0138708279150412;0,957783050131502;0,0127243813939378
"illustration";0,0795103139014445;1,37998990258932;0,465077039395851;0,0545180953906915;0,946222162332436;0,318890885391697;0,00387567709538863;0,942784073517213;0,0533402493873993;8,58629766753918e-05;0,0258649010746072;0,0029377091954749;0,0135818523334778;1,12229449293446;0,017106953231307
